,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,_id,nameRu,nameEn,year,posterUrl,posterUrlPreview,countries[0].country,countries[1].country,countries[2].country,genres[0].genre,genres[1].genre,genres[2].genre,duration,directors[0].directorRu,directors[1].directorRu,directors[2].directorRu,directors[3].directorRu,directors[4].directorRu,directors[5].directorRu,directors[6].directorRu,directors[7].directorRu,directors[8].directorRu,directors[9].directorRu,directors[10].directorRu,directors[11].directorRu,directors[12].directorRu,directors[13].directorRu,directors[14].directorRu,directors[15].directorRu,directors[16].directorRu,directors[17].directorRu,directors[18].directorRu,directors[19].directorRu,directors[20].directorRu,directors[21].directorRu,directors[22].directorRu,directors[23].directorRu,directors[24].directorRu,directors[25].directorRu,directors[26].directorRu,directors[27].directorRu,directors[28].directorRu,directors[29].directorRu,directors[30].directorRu,directors[31].directorRu,directors[32].directorRu,directors[33].directorRu,directors[34].directorRu,directors[35].directorRu,directors[0].directorEn,directors[1].directorEn,directors[2].directorEn,directors[3].directorEn,directors[4].directorEn,directors[5].directorEn,directors[6].directorEn,directors[7].directorEn,directors[8].directorEn,directors[9].directorEn,directors[10].directorEn,directors[11].directorEn,directors[12].directorEn,directors[13].directorEn,directors[14].directorEn,directors[15].directorEn,directors[16].directorEn,directors[17].directorEn,directors[18].directorEn,directors[19].directorEn,directors[20].directorEn,directors[21].directorEn,directors[22].directorEn,directors[23].directorEn,directors[24].directorEn,directors[25].directorEn,directors[26].directorEn,directors[27].directorEn,directors[28].directorEn,directors[29].directorEn,directors[30].directorEn,directors[31].directorEn,directors[32].directorEn,directors[33].directorEn,directors[34].directorEn,directors[35].directorEn,filmId,type,amount,cur,directors,rating
5829,5829,5829,5830,5830,64746d2237c1458c9452ccde,Йонас Кауфман: Под звездами,,2018,https://kinopoiskapiunofficial.tech/images/posters/kp/1219162.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1219162.jpg,Германия,,,концерт,музыка,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219162,,0.0,,0,0.0
5830,5830,5830,5831,5831,64746d3a37c1458c9452cce0,"Рождество, опять","Christmas, Again",2014,https://kinopoiskapiunofficial.tech/images/posters/kp/842380.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/842380.jpg,США,,,драма,мелодрама,,80.0,Чарльз Покел,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Poekel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842380,,0.0,,1,6.738
5831,5831,5831,5832,5832,64746d3a37c1458c9452cce1,"Зимняя сказка, или Королева, потерявшая имя",Fräulein: una fiaba d'inverno,2015,https://kinopoiskapiunofficial.tech/images/posters/kp/905585.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/905585.jpg,Италия,,,фантастика,фэнтези,комедия,90.0,Катерина Кароне,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caterina Carone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905585,,0.0,,1,5.815
5832,5832,5832,5833,5833,64746d3b37c1458c9452cce2,Кредо убийцы,Assassin's Creed,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/690615.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/690615.jpg,США,Франция,Великобритания,фантастика,боевик,приключения,115.0,Джастин Курзель,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Justin Kurzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690615,,0.0,,1,5.731
5833,5833,5833,5834,5834,64746d3b37c1458c9452cce3,Монстр-траки,Monster Trucks,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/784331.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/784331.jpg,США,,,фантастика,боевик,комедия,104.0,Крис Уэдж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Wedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784331,,0.0,,1,5.866
5834,5834,5834,5835,5835,64746d3b37c1458c9452cce4,Без тормозов,À fond,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/931337.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/931337.jpg,Франция,Северная Македония,,боевик,комедия,,91.0,Николя Бенаму,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Benamou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931337,,0.0,,1,6.388
5835,5835,5835,5836,5836,64746d3b37c1458c9452cce5,Ложные признания,Les fausses confidences,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/997752.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/997752.jpg,Франция,,,драма,комедия,,82.0,Люк Бонди,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Bondy,Marie-Louise Bischofberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997752,,0.0,,2,5.416
5836,5836,5836,5837,5837,64746d3b37c1458c9452cce6,МУЛЬТ в кино. Выпуск №44. Лучшие каникулы!,,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/1008487.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1008487.jpg,Россия,,,мультфильм,детский,,47.0,Екатерина Шабанова,Евгений Головин,Олег Шепляков,Андрей Бахурин,Арсен Хачатурян,Дмитрий Лазарев,Алексей Миронов,Роман Трамвай,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008487,,0.0,,0,0.0
5837,5837,5837,5838,5838,64746d3b37c1458c9452cce8,Почему он?,Why Him?,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/930000.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/930000.jpg,США,,,комедия,,,111.0,Джон Гамбург,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930000,,0.0,,1,6.709
5838,5838,5838,5839,5839,64746d3b37c1458c9452cce9,Закон ночи,Live by Night,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/677768.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/677768.jpg,США,,,боевик,триллер,драма,129.0,Бен Аффлек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ben Affleck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677768,,0.0,,1,6.54
5839,5839,5839,5840,5840,64746d3c37c1458c9452ccea,2+1,Demain tout commence,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/934130.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/934130.jpg,Франция,Великобритания,,комедия,драма,семейный,118.0,Юго Желен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugo Gélin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934130,,0.0,,1,7.249
5840,5840,5840,5841,5841,64746d3c37c1458c9452cceb,Преисподняя,Brimstone,2016,https://kinopoiskapiunofficial.tech/images/posters/kp/607928.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/607928.jpg,Нидерланды,Франция,Германия,триллер,драма,детектив,148.0,Мартин Кулховен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Koolhoven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607928,,0.0,,1,6.996
